SECTNO,SUBJECT,TEXT
1.105-1,Publication and code arrangement.,"(a) The FAR is published in (1) the daily issue of the Federal Register, (2) cumulated form in the Code of Federal Regulations (CFR), and (3) a separate loose-leaf edition. (b) The FAR is issued as Chapter 1 of Title 48, CFR. Subsequent chapters are reserved for agency acquisition regulations that implement or supplement the FAR (see subpart 1.3). The CFR Staff will assign chapter numbers to requesting agencies. (c) Each numbered unit or segment (e.g., part, subpart, section, etc.) of an agency acquisition regulation that is codified in the CFR shall begin with the chapter number. However, the chapter number assigned to the FAR will not be included in the numbered units or segments of the FAR."
1.105-2,Arrangement of regulations.,"(a) General. The FAR is divided into subchapters, parts (each of which covers a separate aspect of acquisition), subparts, sections, and subsections. (b) Numbering. (1) The numbering system permits the discrete identification of every FAR paragraph. The digits to the left of the decimal point represent the part number. The numbers to the right of the decimal point and to the left of the dash, represent, in order, the subpart (one or two digits), and the section (two digits). The number to the right of the dash represents the subsection. Subdivisons may be used at the section and subsection level to identify individual paragraphs. The following example illustrates the make-up of a FAR number citation (note that subchapters are not used with citations): (2) Subdivisions below the section or subsection level consist of parenthetical alpha numerics using the following sequence: (a)(1)(i)(A)( 1 )( i ). (c) References and citations. (1) Unless otherwise stated, cross-references indicate parts, subparts, sections, subsections, paragraphs, subparagraphs, or subdivisions of this regulation. (2) This regulation may be referred to as the Federal Acquisition Regulation or the FAR. (3) Using the FAR coverage at 9.106-4(d) as a typical illustration, reference to the— (i) Part would be “FAR part 9” outside the FAR and “part 9” within the FAR. (ii) Subpart would be “FAR subpart 9.1” outside the FAR and “subpart 9.1” within the FAR. (iii) Section would be “FAR 9.106” outside the FAR and “9.106” within the FAR. (iv) Subsection would be “FAR 9.106-4” outside the FAR and “9.106-4” within the FAR. (v) Paragraph would be “FAR 9.106-4(d)” outside the FAR and “9.106-4(d)” within the FAR. (4) Citations of authority (e.g., statutes or executive orders) in the FAR shall follow the Federal Register form guides."
1.105-3,Copies.,"Copies of the FAR in CFR form may be purchased from the Bookstore of the Government Publishing Office (GPO), Washington, DC 20402."
"1.106, 1.106","OMB approval under the Paperwork Reduction Act., OMB approval under the Paperwork Reduction Act.","The Paperwork Reduction Act of 1980 (44 U.S.C. chapter 35) imposes a requirement on Federal agencies to obtain approval from the Office of Management and Budget (OMB) before collecting information from 10 or more members of the public. The information collection and recordkeeping requirements contained in this regulation have been approved by the OMB. The following OMB control numbers apply: For Federal Register citations affecting section 1.106, see the List of CFR Sections Affected, which appears in the Finding Aids section of the printed volume and at www.govinfo.gov. At 85 FR 53133, Aug. 27, 2020, section 1.106 was amended in the table by adding in numerical order FAR segment entry “52.204-26” and its OMB control numbers, effective Oct. 26, 2020. For the convenience of the user, the added text is set forth as follows:"
1.106,OMB approval under the Paperwork Reduction Act.,
1.107,Certifications.,"In accordance with 41 U.S.C. 1304, a new requirement for a certification by a contractor or offeror may not be included in this chapter unless— (a) The certification requirement is specifically imposed by statute; or (b) Written justification for such certification is provided to the Administrator for Federal Procurement Policy by the Federal Acquisition Regulatory Council, and the Administrator approves in writing the inclusion of such certification requirement."
1.108,FAR conventions.,"The following conventions provide guidance for interpreting the FAR: (a) Words and terms. Definitions in Part 2 apply to the entire regulation unless specifically defined in another part, subpart, section, provision, or clause. Words or terms defined in a specific part, subpart, section, provision, or clause have that meaning when used in that part, subpart, section, provision, or clause. Undefined words retain their common dictionary meaning. (b) Delegation of authority. Each authority is delegable unless specifically stated otherwise (see 1.102-4(b)). (c) Dollar thresholds. Unless otherwise specified, a specific dollar threshold for the purpose of applicability is the final anticipated dollar value of the action, including the dollar value of all options. If the action establishes a maximum quantity of supplies or services to be acquired or establishes a ceiling price or establishes the final price to be based on future events, the final anticipated dollar value must be the highest final priced alternative to the Government, including the dollar value of all options. (d) Application of FAR changes to solicitations and contracts. Unless otherwise specified— (1) FAR changes apply to solicitations issued on or after the effective date of the change; (2) Contracting officers may, at their discretion, include the FAR changes in solicitations issued before the effective date, provided award of the resulting contract(s) occurs on or after the effective date; and (3) Contracting officers may, at their discretion, include the changes in any existing contract with appropriate consideration. (e) Citations. When the FAR cites a statute, Executive order, Office of Management and Budget circular, Office of Federal Procurement Policy policy letter, or relevant portion of the Code of Federal Regulations, the citation includes all applicable amendments, unless otherwise stated. (f) Imperative sentences. When an imperative sentence directs action, the contracting officer is responsible for the action, unless another party is expressly cited."
1.109,Statutory acquisition-related dollar thresholds—adjustment for inflation.,"(a) 41 U.S.C. 1908 requires that the FAR Council periodically adjust all statutory acquisition-related dollar thresholds in the FAR for inflation, except as provided in paragraph (c) of this section. This adjustment is calculated every 5 years, starting in October 2005, using the Consumer Price Index for All Urban Consumers (CPI-U), and supersedes the applicability of any other provision of law that provides for the adjustment of such acquisition-related dollar thresholds. (b) The statute defines an acquisition-related dollar threshold as a dollar threshold that is specified in law as a factor in defining the scope of the applicability of a policy, procedure, requirement, or restriction provided in that law to the procurement of supplies or services by an executive agency, as determined by the FAR Council. (c) The statute does not permit escalation of acquisition-related dollar thresholds established by: (1) 40 U.S.C. chapter 31, subchapter IV, Wage Rate Requirements (Construction); (2) 41 U.S.C. chapter 67, Service Contract Labor Standards; or (3) The United States Trade Representative pursuant to the authority of the Trade Agreements Act of 1979 (19 U.S.C. 2511 et seq. ). (d) The statute, as amended by section 821 of the National Defense Authorization Act for Fiscal Year 2018 (Pub. L. 115-91), requires the adjustment described in paragraph (a) of this section be applied to contracts and subcontracts without regard to the date of award of the contract or subcontract. Therefore, if a threshold is adjusted for inflation as set forth in paragraph (a) of this section, then the changed threshold applies throughout the remaining term of the contract, unless there is a subsequent threshold adjustment. (e) A matrix showing calculation of the most recent escalation adjustments of statutory acquisition-related dollar thresholds is available via the Internet at http://www.regulations.gov (search FAR case 2014-022, open the docket folder, and go to the supporting documents file)."
1.110,Positive law codification.,"(a) Public Law 107-217 revised, codified, and enacted as title 40, United States Code, Public Buildings, Property, and Works, certain general and permanent laws of the United States. (b) Public Law 111-350 revised, codified, and enacted as title 41, United States Code, Public Contracts, certain general and permanent laws of the United States. (c) The following table provides cross references between the historical titles of the acts, and the current reference in title 40 or title 41."
1.201,Maintenance of the FAR.,
1.201-1,The two councils.,"(a) Subject to the authorities discussed in 1.103, revisions to the FAR will be prepared and issued through the coordinated action of two councils, the Defense Acquisition Regulations Council (DAR Council) and the Civilian Agency Acquisition Council (CAA Council). Members of these councils shall— (1) Represent their agencies on a full-time basis; (2) Be selected for their superior qualifications in terms of acquisition experience and demonstrated professional expertise; and (3) Be funded by their respective agencies. (b) The chairperson of the CAA Council shall be the representative of the Administrator of General Services. The other members of this council shall be one each representative from the— (1) Departments of Agriculture, Commerce, Education, Energy, Health and Human Services, Homeland Security, Housing and Urban Development, Interior, Justice, Labor, State, Transportation, Treasury, and Veterans Affairs; and (2) Environmental Protection Agency, National Aeronautics and Space Administration, Social Security Administration, Small Business Administration, and U.S. Agency for International Development. (c) The Director of the DAR Council shall be the representative of the Secretary of Defense. The operation of the DAR Council will be as prescribed by the Secretary of Defense. Membership shall include representatives of the military departments, the Defense Logistics Agency and the Defense Contract Management Agency. (d) Responsibility for processing revisions to the FAR is apportioned by the two councils so that each council has cognizance over specified parts or subparts. (e) Each council shall be responsible for— (1) Agreeing on all revisions with the other council; (2) Submitting to the FAR Secretariat (see 1.201-2) the information required under paragraphs 1.501-2(b) and (e) for publication in the Federal Register of a notice soliciting comments on a proposed revision to the FAR; (3) Considering all comments received in response to notice of proposed revisions; (4) Arranging for public meetings; (5) Preparing any final revision in the appropriate FAR format and language; and (6) Submitting any final revision to the FAR Secretariat for publication in the Federal Register and printing for distribution."
1.201-2,FAR Secretariat.,"(a) The General Services Administration is responsible for establishing and operating the FAR Secretariat to print, publish, and distribute the FAR through the Code of Federal Regulations system (including a loose-leaf edition with periodic updates). (b) Additionally, the FAR Secretariat shall provide the two councils with centralized services for— (1) Keeping a synopsis of current FAR cases and their status; (2) Maintaining official files; (3) Assisting parties interested in reviewing the files on completed cases; and (4) Performing miscellaneous administrative tasks pertaining to the maintenance of the FAR."
1.202,Agency compliance with the FAR.,"Agency compliance with the FAR (see 1.304) is the responsibility of the Secretary of Defense (for the military departments and defense agencies), the Administrator of General Services (for civilian agencies other than NASA), and the Administrator of NASA (for NASA activities)."
1.301,Policy.,"(a)(1) Subject to the authorities in paragraph (c) below and other statutory authority, an agency head may issue or authorize the issuance of agency acquisition regulations that implement or supplement the FAR and incorporate, together with the FAR, agency policies, procedures, contract clauses, solicitation provisions, and forms that govern the contracting process or otherwise control the relationship between the agency, including any of its suborganizations, and contractors or prospective contractors. (2) Subject to the authorities in (c) below and other statutory authority, an agency head may issue or authorize the issuance of internal agency guidance at any organizational level (e.g., designations and delegations of authority, assignments of responsibilities, work-flow procedures, and internal reporting requirements). (b) Agency heads shall establish procedures to ensure that agency acquisition regulations are published for comment in the Federal Register in conformance with the procedures in subpart 1.5 and as required by 41 U.S.C. 1707, and other applicable statutes, when they have a significant effect beyond the internal operating procedures of the agency or have a significant cost or administrative impact on contractors or offerors. However, publication is not required for issuances that merely implement or supplement higher level issuances that have previously undergone the public comment process, unless such implementation or supplementation results in an additional significant cost or administrative impact on contractors or offerors or effect beyond the internal operating procedures of the issuing organization. Issuances under 1.301(a)(2) need not be publicized for public comment. (c) When adopting acquisition regulations, agencies shall ensure that they comply with the Paperwork Reduction Act (44 U.S.C. 3501, et seq. ) as implemented in 5 CFR part 1320 (see 1.105) and the Regulatory Flexibility Act (5 U.S.C. 601, et seq. ). Normally, when a law requires publication of a proposed regulation, the Regulatory Flexibility Act applies and agencies must prepare written analyses or certifications as provided in the law. (d) Agency acquisition regulations implementing or supplementing the FAR are, for— (1) The military departments and defense agencies, issued subject to the authority of the Secretary of Defense; (2) NASA activities, issued subject to the authorities of the Administrator of NASA; and (3) The civilian agencies other than NASA, issued by the heads of those agencies subject to the overall authority of the Administrator of General Services or independent authority the agency may have."
1.302,Limitations.,"Agency acquisition regulations shall be limited to— (a) Those necessary to implement FAR policies and procedures within the agency; and (b) Additional policies, procedures, solicitation provisions, or contract clauses that supplement the FAR to satisfy the specific needs of the agency."
1.303,Publication and codification.,"(a) Agency-wide acquisition regulations shall be published in the Federal Register as required by law, shall be codified under an assigned chapter in Title 48, Code of Federal Regulations, and shall parallel the FAR in format, arrangement, and numbering system (but see 1.104-1(c)). Coverage in an agency acquisition regulation that implements a specific part, subpart, section, or subsection of the FAR shall be numbered and titled to correspond to the appropriate FAR number and title. Supplementary material for which there is no counterpart in the FAR shall be codified using chapter, part, subpart, section, or subsection numbers of 70 and up (e.g., for the Department of Interior, whose assigned chapter number in Title 48 is 14, part 1470, subpart 1401.70, section 1401.370, or subsection 1401.301-70.) (b) Issuances under 1.301(a)(2) need not be published in the Federal Register."
1.304,Agency control and compliance procedures.,"(a) Under the authorities of 1.301(d), agencies shall control and limit issuance of agency acquisition regulations and, in particular, local agency directives that restrain the flexibilities found in the FAR, and shall establish formal procedures for the review of these documents to assure compliance with this part 1. (b) Agency acquisition regulations shall not— (1) Unnecessarily repeat, paraphrase, or otherwise restate material contained in the FAR or higher-level agency acquisition regulations; or (2) Except as required by law or as provided in subpart 1.4, conflict or be inconsistent with FAR content. (c) Agencies shall evaluate all regulatory coverage in agency acquisition regulations to determine if it could apply to other agencies. Coverage that is not peculiar to one agency shall be recommended for inclusion in the FAR."
1.400,Scope of subpart.,This subpart prescribes the policies and procedures for authorizing deviations from the FAR. Exceptions pertaining to the use of forms prescribed by the FAR are covered in part 53 rather than in this subpart.
1.401,Definition.,"Deviation means any one or combination of the following: (a) The issuance or use of a policy, procedure, solicitation provision (see definition in 2.101), contract clause (see definition in 2.101), method, or practice of conducting acquisition actions of any kind at any stage of the acquisition process that is inconsistent with the FAR. (b) The omission of any solicitation provision or contract clause when its prescription requires its use. (c) The use of any solicitation provision or contract clause with modified or alternate language that is not authorized by the FAR (see definition of “modification” in 52.101(a) and definition of “alternate” in 2.101(a)). (d) The use of a solicitation provision or contract clause prescribed by the FAR on a substantially as follows or substantially the same as basis (see definitions in 2.101 and 52.101(a)), if such use is inconsistent with the intent, principle, or substance of the prescription or related coverage on the subject matter in the FAR. (e) The authorization of lesser or greater limitations on the use of any solicitation provision, contract clause, policy, or procedure prescribed by the FAR. (f) The issuance of policies or procedures that govern the contracting process or otherwise control contracting relationships that are not incorporated into agency acquisition regulations in accordance with 1.301(a)."
1.402,Policy.,"Unless precluded by law, executive order, or regulation, deviations from the FAR may be granted as specified in this subpart when necessary to meet the specific needs and requirements of each agency. The development and testing of new techniques and methods of acquisition should not be stifled simply because such action would require a FAR deviation. The fact that deviation authority is required should not, of itself, deter agencies in their development and testing of new techniques and acquisition methods. Refer to 31.101 for instructions concerning deviations pertaining to the subject matter of part 31, Contract Cost Principles and Procedures. Deviations are not authorized with respect to 30.201-3 and 30.201-4, or the requirements of the Cost Accounting Standards Board (CASB) rules and regulations (48 CFR Chapter 99 (FAR Appendix)). Refer to 30.201-5 for instructions concerning waivers pertaining to Cost Accounting Standards."
1.403,Individual deviations.,"Individual deviations affect only one contract action, and, unless 1.405(e) is applicable, may be authorized by the agency head. The contracting officer must document the justification and agency approval in the contract file."
1.404,Class deviations.,"Class deviations affect more than one contract action. When an agency knows that it will require a class deviation on a permanent basis, it should propose a FAR revision, if appropriate. Civilian agencies, other than NASA, must furnish a copy of each approved class deviation to the FAR Secretariat. (a) For civilian agencies except NASA, class deviations may be authorized by agency heads or their designees, unless 1.405(e) is applicable. Delegation of this authority shall not be made below the head of a contracting activity. Authorization of class deviations by agency officials is subject to the following limitations: (1) An agency official who may authorize a class deviation, before doing so, shall consult with the chairperson of the Civilian Agency Acquisition Council (CAA Council), unless that agency official determines that urgency precludes such consultation. (2) Recommended revisions to the FAR shall be transmitted to the FAR Secretariat by agency heads or their designees for authorizing class deviations. (b) For DOD, class deviations shall be controlled, processed, and approved in accordance with the Defense FAR Supplement. (c) For NASA, class deviations shall be controlled and approved by the Assistant Administrator for Procurement. Deviations shall be processed in accordance with agency regulations."
1.405,Deviations pertaining to treaties and executive agreements.,"(a) Executive agreements, as used in this section, means Government-to-Government agreements, including agreements with international organizations, to which the United States is a party. (b) Any deviation from the FAR required to comply with a treaty to which the United States is a party is authorized, unless the deviation would be inconsistent with FAR coverage based on a law enacted after the execution of the treaty. (c) Any deviation from the FAR required to comply with an executive agreement is authorized unless the deviation would be inconsistent with FAR coverage based on law. (d) For civilian agencies other than NASA, a copy of the text deviation authorized under paragraph (b) or (c) of this section shall be transmitted to the FAR Secretariat through a central agency control point. (e) For civilian agencies other than NASA, if a deviation required to comply with a treaty or an executive agreement is not authorized by paragraph (b) or (c) of this section, then the request for deviation shall be processed through the FAR Secretariat to the Civilian Agency Acquisition Council."
1.501,Solicitation of agency and public views.,
1.501-1,Definition.,"Significant revisions, as used in this subpart, means revisions that alter the substantive meaning of any coverage in the FAR System and which have a significant cost or administrative impact on contractors or offerors, or a significant effect beyond the internal operating procedures of the issuing agency. This expression, for example, does not include editorial, stylistic, or other revisions that have no impact on the basic meaning of the coverage being revised."
1.501-2,Opportunity for public comments.,"(a) Views of agencies and nongovernmental parties or organizations will be considered in formulating acquisition policies and procedures. (b) The opportunity to submit written comments on proposed significant revisions shall be provided by placing a notice in the Federal Register. Each of these notices shall include— (1) The text of the revision or, if it is impracticable to publish the full text, a summary of the proposal; (2) The address and telephone number of the individual from whom copies of the revision, in full text, can be requested and to whom comments thereon should be addressed; and (3) When 1.501-3(b) is applicable, a statement that the revision is effective on a temporary basis pending completion of the public comment period. (c) A minimum of 30 days and, normally, at least 60 days will be given for the receipt of comments."
1.501-3,Exceptions.,"(a) Comments need not be solicited when the proposed coverage does not constitute a significant revision. (b) Advance comments need not be solicited when urgent and compelling circumstances make solicitation of comments impracticable prior to the effective date of the coverage, such as when a new statute must be implemented in a relatively short period of time. In such case, the coverage shall be issued on a temporary basis and shall provide for at least a 30 day public comment period."
1.502,Unsolicited proposed revisions.,Consideration shall also be given to unsolicited recommendations for revisions that have been submitted in writing with sufficient data and rationale to permit their evaluation.
1.503,Public meetings.,"Public meetings may be appropriate when a decision to adopt, amend, or delete coverage is likely to benefit from significant additional views and discussion."
1.601,General.,"(a) Unless specifically prohibited by another provision of law, authority and responsibility to contract for authorized supplies and services are vested in the agency head. The agency head may establish contracting activities and delegate broad authority to manage the agency's contracting functions to heads of such contracting activities. Contracts may be entered into and signed on behalf of the Government only by contracting officers. In some agencies, a relatively small number of high level officials are designated contracting officers solely by virtue of their positions. Contracting officers below the level of a head of a contracting activity shall be selected and appointed under 1.603. (b) Agency heads may mutually agree to— (1) Assign contracting functions and responsibilities from one agency to another; and (2) Create joint or combined offices to exercise acquisition functions and responsibilities."
1.602,Contracting officers.,
1.602-1,Authority.,"(a) Contracting officers have authority to enter into, administer, or terminate contracts and make related determinations and findings. Contracting officers may bind the Government only to the extent of the authority delegated to them. Contracting officers shall receive from the appointing authority (see 1.603-1) clear instructions in writing regarding the limits of their authority. Information on the limits of the contracting officers' authority shall be readily available to the public and agency personnel. (b) No contract shall be entered into unless the contracting officer ensures that all requirements of law, executive orders, regulations, and all other applicable procedures, including clearances and approvals, have been met."
1.602-2,Responsibilities.,"Contracting officers are responsible for ensuring performance of all necessary actions for effective contracting, ensuring compliance with the terms of the contract, and safeguarding the interests of the United States in its contractual relationships. In order to perform these responsibilities, contracting officers should be allowed wide latitude to exercise business judgment. Contracting officers shall— (a) Ensure that the requirements of 1.602-1(b) have been met, and that sufficient funds are available for obligation; (b) Ensure that contractors receive impartial, fair, and equitable treatment; (c) Request and consider the advice of specialists in audit, law, engineering, information security, transportation, and other fields, as appropriate; and (d) Designate and authorize, in writing and in accordance with agency procedures, a contracting officer's representative (COR) on all contracts and orders other than those that are firm-fixed price, and for firm-fixed-price contracts and orders as appropriate, unless the contracting officer retains and executes the COR duties. See 7.104(e). A COR— (1) Shall be a Government employee, unless otherwise authorized in agency regulations; (2) Shall be certified and maintain certification in accordance with the current Office of Management and Budget memorandum on the Federal Acquisition Certification for Contracting Officer Representatives (FAC-COR) guidance, or for DoD, in accordance with the current applicable DoD policy guidance; (3) Shall be qualified by training and experience commensurate with the responsibilities to be delegated in accordance with agency procedures; (4) May not be delegated responsibility to perform functions that have been delegated under 42.202 to a contract administration office, but may be assigned some duties at 42.302 by the contracting officer; (5) Has no authority to make any commitments or changes that affect price, quality, quantity, delivery, or other terms and conditions of the contract nor in any way direct the contractor or its subcontractors to operate in conflict with the contract terms and conditions; (6) Shall be nominated either by the requiring activity or in accordance with agency procedures; and (7) Shall be designated in writing, with copies furnished to the contractor and the contract administration office— (i) Specifying the extent of the COR's authority to act on behalf of the contracting officer; (ii) Identifying the limitations on the COR's authority; (iii) Specifying the period covered by the designation; (iv) Stating the authority is not redelegable; and (v) Stating that the COR may be personally liable for unauthorized acts."
1.602-3,Ratification of unauthorized commitments.,"(a) Definitions. Ratification, as used in this subsection, means the act of approving an unauthorized commitment by an official who has the authority to do so. Unauthorized commitment, as used in this subsection, means an agreement that is not binding solely because the Government representative who made it lacked the authority to enter into that agreement on behalf of the Government. (b) Policy. (1) Agencies should take positive action to preclude, to the maximum extent possible, the need for ratification actions. Although procedures are provided in this section for use in those cases where the ratification of an unauthorized commitment is necessary, these procedures may not be used in a manner that encourages such commitments being made by Government personnel. (2) Subject to the limitations in paragraph (c) of this subsection, the head of the contracting activity, unless a higher level official is designated by the agency, may ratify an unauthorized commitment. (3) The ratification authority in subparagraph (b)(2) of this subsection may be delegated in accordance with agency procedures, but in no case shall the authority be delegated below the level of chief of the contracting office. (4) Agencies should process unauthorized commitments using the ratification authority of this subsection instead of referring such actions to the Government Accountability Office for resolution. (See 1.602-3(d).) (5) Unauthorized commitments that would involve claims subject to resolution under 41 U.S.C. chapter 71, Contract Disputes, should be processed in accordance with subpart 33.2, Disputes and Appeals. (c) Limitations. The authority in subparagraph (b)(2) of this subsection may be exercised only when— (1) Supplies or services have been provided to and accepted by the Government, or the Government otherwise has obtained or will obtain a benefit resulting from performance of the unauthorized commitment; (2) The ratifying official has the authority to enter into a contractual commitment; (3) The resulting contract would otherwise have been proper if made by an appropriate contracting officer; (4) The contracting officer reviewing the unauthorized commitment determines the price to be fair and reasonable; (5) The contracting officer recommends payment and legal counsel concurs in the recommendation, unless agency procedures expressly do not require such concurrence; (6) Funds are available and were available at the time the unauthorized commitment was made; and (7) The ratification is in accordance with any other limitations prescribed under agency procedures. (d) Nonratifiable commitments. Cases that are not ratifiable under this subsection may be subject to resolution as recommended by the Government Accountability Office under its claim procedure (GAO Policy and Procedures Manual for Guidance of Federal Agencies, Title 4, Chapter 2), or as authorized by FAR Subpart 50.1. Legal advice should be obtained in these cases."
1.603,"Selection, appointment, and termination of appointment for contracting officers.",
1.603-1,General.,"41 U.S.C. 1702(b)(3)(G), requires agency heads to establish and maintain a procurement career management program and a system for the selection, appointment, and termination of appointment of contracting officers. Agency heads or their designees may select and appoint contracting officers and terminate their appointments. These selections and appointments shall be consistent with Office of Federal Procurement Policy's (OFPP) standards for skill-based training in performing contracting and purchasing duties as published in OFPP Policy Letter No. 05-01, Developing and Managing the Acquisition Workforce, April 15, 2005."
