SECTNO,CFRSubject,Original_sentence,Matched_Label,Matched_Text
2.101,Definitions.=,"For purposes of these services— (i) Catalog price means a price included in a catalog, price list, schedule, or other form that is regularly maintained by the manufacturer or vendor, is either published or otherwise available for inspection by customers, and states prices at which sales are currently, or were last, made to a significant number of buyers constituting the general public; and (ii) Market prices means current prices that are established in the course of ordinary trade between buyers and sellers free to bargain and that can be substantiated through competition or from sources independent of the offerors.",dispensations_00,that can be substantiated
2.101,Definitions.=,Continued portion of the contract means the portion of a contract that the contractor must continue to perform following a partial termination.,obligations_02,contractor must continue
2.101,Definitions.=,"They also include, but are not limited to, such factors as— (1) Vendor quotations; (2) Nonrecurring costs; (3) Information on changes in production methods and in production or purchasing volume; (4) Data supporting projections of business prospects and objectives and related operations costs; (5) Unit-cost trends such as those associated with labor efficiency; (6) Make-or-buy decisions; (7) Estimated resources to attain business goals; and (8) Information on management decisions that could have a significant bearing on costs.",permissions_99,that could have
2.101,Definitions.=,"Such data may include the identical types of data as certified cost or pricing data, consistent with Table 15-2 of 15.408, but without the certification.",permissions_99,data may include
2.101,Definitions.=,"The data may also include, for example, sales data and any information reasonably required to explain the offeror's estimating process, including, but not limited to— (1) The judgmental factors applied and the mathematical or other methods used in the estimate, including those used in projecting from known data; and (2) The nature and amount of any contingencies included in the proposed price.",dispensations_00,data may also include
2.101,Definitions.=,"This comparison may consider raw materials acquisition, production, manufacturing, packaging, distribution, reuse, operation, maintenance, or disposal of the product or service.",permissions_99,comparison may consider
2.101,Definitions.=,"For cost-reimbursement research and development contracts with educational institutions, it may be predetermined; that is, established for a future period on the basis of cost experience with similar contracts, together with supporting data.",dispensations_00,it may be predetermined
2.101,Definitions.=,"These projections may include rates for such things as labor, indirect costs, material obsolescence and usage, spare parts provisioning, and material handling.",permissions_99,projections may include
2.101,Definitions.=,"In writing, writing, or written means any worded or numbered expression that can be read, reproduced, and later communicated, and includes electronically transmitted and stored information.",dispensations_00,that can be read
2.101,Definitions.=,Neither the financial institution nor the offeror/contractor can revoke or condition the letter of credit.,permissions_99,contractor can revoke
2.101,Definitions.=,"The elements may include hardware, equipment, software, or any combination thereof, but exclude construction or other improvements to real property.",permissions_99,elements may include
2.101,Definitions.=,"A neutral person must have no official, financial, or personal conflict of interest with respect to the issues in controversy, unless the interest is fully disclosed in writing to all parties and all parties agree that the neutral person may serve (5 U.S.C. 583).",permissions_99,person may serve
2.101,Definitions.=,"Option means a unilateral right in a contract by which, for a specified time, the Government may elect to purchase additional supplies or services called for by the contract, or may elect to extend the term of the contract.",dispensations_00,Government may elect
2.101,Definitions.=,Receiving reports must meet the requirements of 32.905(c).,obligations_02,reports must meet
2.101,Definitions.=,Solicitations under simplified acquisition procedures may require submission of either a quotation or an offer.,permissions_99,procedures may require
2.101,Definitions.=,"Sustainable acquisition means acquiring goods and services in order to create and maintain conditions— (1) Under which humans and nature can exist in productive harmony; and (2) That permit fulfilling the social, economic, and other requirements of present and future generations.",permissions_99,nature can exist
3.101-2,Solicitation and acceptance of gratuities by Government personnel.,"As a rule, no Government employee may solicit or accept, directly or indirectly, any gratuity, gift, favor, entertainment, loan, or anything of monetary value from anyone who (a) has or is seeking to obtain Government business with the employee's agency, (b) conducts activities that are regulated by the employee's agency, or (c) has interests that may be substantially affected by the performance or nonperformance of the employee's official duties.",permissions_99,employee may solicit
3.103-1,Solicitation provision.,"The contracting officer shall insert the provision at 52.203-2, Certificate of Independent Price Determination, in solicitations when a firm-fixed-price contract or fixed-price contract with economic price adjustment is contemplated, unless— (a) The acquisition is to be made under the simplified acquisition procedures in part 13; (b)",obligations_02,officer shall insert
3.103-2,Evaluating the certification.,"For the purpose of paragraph (b)(2) of the certificate, an individual may use a blanket authorization to act as an agent for the person(s) responsible for determining the offered prices if— (i)",permissions_99,individual may use
3.103-2,Evaluating the certification.,"(1) If the offeror deleted or modified paragraph (a)(1) or (3) or paragraph (b) of the certificate, the contracting officer shall reject the offeror's bid or proposal.",obligations_02,officer shall reject
3.103-2,Evaluating the certification.,"The chief of the contracting office shall review the altered certificate and the statement and shall determine, in writing, whether the disclosure was made for the purpose or had the effect of restricting competition.",obligations_02,office shall review
3.103-2,Evaluating the certification.,"(3) Whenever an offer is rejected under paragraph (b)(1) or (2) of this section, or the certificate is suspected of being false, the contracting officer shall report the situation to the Attorney General in accordance with 3.303.",obligations_02,officer shall report
3.103-2,Evaluating the certification.,(4) The determination made under paragraph (2) of this section shall not prevent or inhibit the prosecution of any criminal or civil actions involving the occurrences or transactions to which the certificate relates.,prohibitions_04,section shall not prevent
3.103-3,The need for further certifications.,"A contractor that properly executed the certificate before award does not have to submit a separate certificate with each proposal to perform a work order or similar ordering instrument issued pursuant to the terms of the contract, where the Government's requirements cannot be met from another source.",dispensations_00,requirements cannot be met
3.104-2,General.,"The acceptance of a gift, under certain circumstances, is prohibited by 5 U.S.C. 7353 and 5 CFR part 2635; (2) Contacts with an offeror during the conduct of an acquisition may constitute “seeking employment,”(see subpart F of 5 CFR part 2636 and 3.104-3(c)(2)).",permissions_99,acquisition may constitute
3.104-2,General.,An employee who engages in negotiations or is otherwise seeking employment with an offeror or who has an arrangement concerning future employment with an offeror must comply with the applicable disqualification requirements of 5 CFR 2635.604 and 2635.606.,obligations_02,offeror must comply
3.104-2,General.,"The statutory prohibition in 18 U.S.C. 208 also may require an employee's disqualification from participation in the acquisition even if the employee's duties may not be considered “participating personally and substantially,” as this term is defined in 3.104-1; (3) Post-employment restrictions are covered by 18 U.S.C. 207 and 5 CFR parts 2637 and 2641, that prohibit certain activities by former Government employees, including representation of a contractor before the Government in relation to any contract or other particular matter involving specific parties on which the former employee participated personally and substantially while employed by the Government.",dispensations_00,duties may not be considered
3.104-3,"Statutory and related prohibitions, restrictions, and requirements.",(3) Agencies must retain reports of employment contacts for 2 years from the date the report was submitted.,obligations_02,Agencies must retain
3.104-4,"Disclosure, protection, and marking of contractor bid or proposal information and source selection information.","Except as specifically provided for in this subsection, no person or other entity may disclose contractor bid or proposal information or source selection information to any person other than a person authorized, in accordance with applicable agency regulations or procedures, by the agency head or the contracting officer to receive such information.",permissions_99,entity may disclose
3.104-4,"Disclosure, protection, and marking of contractor bid or proposal information and source selection information.","(d) Except as provided in paragraph (d)(3) of this subsection, the contracting officer must notify the contractor in writing if the contracting officer believes that proprietary information, contractor bid or proposal information, or information marked in accordance with 52.215-1(e) has been inappropriately marked.",obligations_02,officer must notify
3.104-4,"Disclosure, protection, and marking of contractor bid or proposal information and source selection information.","(1) If the contractor agrees that the marking is not justified, or does not respond within the time specified in the notice, the contracting officer may remove the marking and release the information.",permissions_99,officer may remove
3.104-4,"Disclosure, protection, and marking of contractor bid or proposal information and source selection information.","(2) If, after reviewing the contractor's justification, the contracting officer determines that the marking is not justified, the contracting officer must notify the contractor in writing before releasing the information.",obligations_02,officer must notify
3.104-4,"Disclosure, protection, and marking of contractor bid or proposal information and source selection information.","(3) For technical data marked as proprietary by a contractor, the contracting officer must follow the procedures in 27.404-5.",obligations_02,officer must follow
3.104-4,"Disclosure, protection, and marking of contractor bid or proposal information and source selection information.","Any release containing contractor bid or proposal information or source selection information must clearly identify the information as contractor bid or proposal information or source selection information related to the conduct of a Federal agency procurement and notify the recipient that the disclosure of the information is restricted by 41 U.S.C. chapter 21; (2) The withholding of information from, or restricting its receipt by, the Comptroller General in the course of a protest against the award or proposed award of a Federal agency procurement contract; (3) The release of information after award of a contract or cancellation of a procurement if such information is contractor bid or proposal information or source selection information that pertains to another procurement; or (4) The disclosure, solicitation, or receipt of bid or proposal information or source selection information after award if disclosure, solicitation, or receipt is prohibited by law.",obligations_02,information must clearly identify
3.104-5,Disqualification.,These contacts may also require disqualification under other statutes and regulations.,dispensations_00,contacts may also require
3.104-5,Disqualification.,"In addition to submitting the contact report required by 3.104-3(c)(1), an agency official who must disqualify himself or herself pursuant to 3.104-3(c)(1)(ii) must promptly submit written notice of disqualification from further participation in the procurement to the contracting officer, the source selection authority if other than the contracting officer, and the agency official's immediate supervisor.",obligations_02,who must disqualify
3.104-5,Disqualification.,"(1) The official must remain disqualified until such time as the agency, at its sole and exclusive discretion, authorizes the official to resume participation in the procurement in accordance with 3.104-3(c)(1)(ii).",obligations_02,official must remain
3.104-5,Disqualification.,(3) Government officer or employee must also comply with the provisions of 18 U.S.C. 208 and 5 CFR part 2635 regarding any resumed participation in a procurement matter.,obligations_02,employee must also comply
3.104-6,Ethics advisory opinions regarding prohibitions on a former official's acceptance of compensation from a contractor.,(a) An official or former official of a Federal agency who does not know whether he or she is or would be precluded by 41 U.S.C. 2104 (see 3.104-3(d)) from accepting compensation from a particular contractor may request advice from the appropriate agency ethics official before accepting such compensation.,permissions_99,contractor may request
3.104-6,Ethics advisory opinions regarding prohibitions on a former official's acceptance of compensation from a contractor.,"The request must include information about the— (1) Procurement(s), or decision(s) on matters under 3.104-3(d)(1)(iii), involving the particular contractor, in which the individual was or is involved, including contract or solicitation numbers, dates of solicitation or award, a description of the supplies or services procured or to be procured, and contract amount; (2) Individual's participation in the procurement or decision, including the dates or time periods of that participation, and the nature of the individual's duties, responsibilities, or actions; and (3) Contractor, including a description of the products or services produced by the division or affiliate of the contractor from whom the individual proposes to accept compensation.",obligations_02,request must include
3.104-6,Ethics advisory opinions regarding prohibitions on a former official's acceptance of compensation from a contractor.,"Within 30 days after receipt of a request containing complete information, or as soon thereafter as practicable, the agency ethics official should issue an opinion on whether the proposed conduct would violate 41 U.S.C. 2104.",obligations_02,official should issue
3.104-6,Ethics advisory opinions regarding prohibitions on a former official's acceptance of compensation from a contractor.,"If complete information is not included in the request, the agency ethics official may ask the requester to provide more information or request information from other persons, including the source selection authority, the contracting officer, or the requester's immediate supervisor.",permissions_99,official may ask
3.104-6,Ethics advisory opinions regarding prohibitions on a former official's acceptance of compensation from a contractor.,"In issuing an opinion, the agency ethics official may rely upon the accuracy of information furnished by the requester or other agency sources, unless he or she has reason to believe that the information is fraudulent, misleading, or otherwise incorrect.",permissions_99,official may rely
3.104-6,Ethics advisory opinions regarding prohibitions on a former official's acceptance of compensation from a contractor.,"(3) If the requester is advised in a written opinion by the agency ethics official that the requester may accept compensation from a particular contractor, and accepts such compensation in good faith reliance on that advisory opinion, then neither the requester nor the contractor will be found to have knowingly violated 41 U.S.C. 2104.",permissions_99,requester may accept
3.104-7,Violations or possible violations.,"(1) If the contracting officer concludes that there is no impact on the procurement, the contracting officer must forward the information concerning the violation or possible violation and documentation supporting a determination that there is no impact on the procurement to an individual designated in accordance with agency procedures.",obligations_02,officer must forward
3.104-7,Violations or possible violations.,"If that individual concurs, the contracting officer may proceed with the procurement.",permissions_99,officer may proceed
3.104-7,Violations or possible violations.,"(2) If the contracting officer concludes that the violation or possible violation impacts the procurement, the contracting officer must promptly forward the information to the HCA. (b) The HCA must review all information available and, in accordance with agency procedures, take appropriate action, such as— (1) Advise the contracting officer to continue with the procurement; (2) Begin an investigation; (3) Refer the information disclosed to appropriate criminal investigative agencies; (4) Conclude that a violation occurred; or (5) Recommend that the agency head determine that the contractor, or someone acting for the contractor, has engaged in conduct constituting an offense punishable under 41 U.S.C. 2105, for the purpose of voiding or rescinding the contract.",obligations_02,officer must promptly forward
3.104-7,Violations or possible violations.,"(c) Before concluding that an offeror, contractor, or person has violated 41 U.S.C. chapter 21, the HCA may consider that the interests of the Government are best served by requesting information from appropriate parties regarding the violation or possible violation.",dispensations_00,HCA may consider
3.104-7,Violations or possible violations.,"(d) If the HCA concludes that 41 U.S.C. chapter 21 has been violated, the HCA may direct the contracting officer to— (1) If a contract has not been awarded— (i) Cancel the procurement; (ii) Disqualify an offeror; or (iii) Take any other appropriate actions in the interests of the Government.",dispensations_00,HCA may direct
3.104-7,Violations or possible violations.,"The HCA may delegate his or her authority under this subsection to an individual at least one organizational level above the contracting officer and of General Officer, Flag, Senior Executive Service, or equivalent rank.",dispensations_00,HCA may delegate
3.202,Contract clause.,"The contracting officer shall insert the clause at 52.203-3, Gratuities, in solicitations and contracts with a value exceeding the simplified acquisition threshold, except those for personal services and those between military departments or defense agencies and foreign governments that do not obligate any funds appropriated to the Department of Defense.",obligations_02,officer shall insert
3.203,Reporting suspected violations of the Gratuities clause.,Agency personnel shall report suspected violations of the Gratuities clause to the contracting officer or other designated official in accordance with agency procedures.,obligations_02,personnel shall report
3.203,Reporting suspected violations of the Gratuities clause.,"The agency reporting procedures shall be published as an implementation of this section 3.203 and shall clearly specify— (a) What to report and how to report it; and (b) The channels through which reports must pass, including the function and authority of each official designated to review them.",obligations_02,reports must pass
3.204,Treatment of violations.,"(a) Before taking any action against a contractor, the agency head or a designee shall determine, after notice and hearing under agency procedures, whether the contractor, its agent, or another representative, under a contract containing the Gratuities clause— (1) Offered or gave a gratuity (e.g., an entertainment or gift) to an officer, official, or employee of the Government; and (2) Intended by the gratuity to obtain a contract or favorable treatment under a contract (intent generally must be inferred).",obligations_02,designee shall determine
3.204,Treatment of violations.,"(b) Agency procedures shall afford the contractor an opportunity to appear with counsel, submit documentary evidence, present witnesses, and confront any person the agency presents.",obligations_02,procedures shall afford
3.301,General.,"Agency personnel shall report, in accordance with agency regulations, evidence of suspected antitrust violations in acquisitions for possible referral to— (1) The Attorney General under 3.303; and (2) The agency office responsible for contractor debarment and suspension under subpart 9.4.",obligations_02,personnel shall report
3.303,Reporting suspected antitrust violations.,"(c) Practices or events that may evidence violations of the antitrust laws include— (1) The existence of an industry price list or price agreement to which contractors refer in formulating their offers; (2) A sudden change from competitive bidding to identical bidding; (3) Simultaneous price increases or follow-the-leader pricing; (4) Rotation of bids or proposals, so that each competitor takes a turn in sequence as low bidder, or so that certain competitors bid low only on some sizes of contracts and high on other sizes; (5) Division of the market, so that certain competitors bid low only for contracts awarded by certain agencies, or for contracts in certain geographical areas, or on certain products, and bid high on all other jobs; (6) Establishment by competitors of a collusive price estimating system; (7) The filing of a joint bid by two or more competitors when at least one of the competitors has sufficient technical capability and productive capacity for contract performance; (8) Any incidents suggesting direct collusion among competitors, such as the appearance of identical calculation or spelling errors in two or more competitive offers or the submission by one firm of offers for other firms; and (9) Assertions by the employees, former employees, or competitors of offerors, that an agreement to restrain trade exists.",permissions_99,that may evidence
3.303,Reporting suspected antitrust violations.,"For offers from foreign contractors for contracts to be performed outside the United States and its outlying areas, contracting officers may refer suspected collusive offers to the authorities of the foreign government concerned for appropriate action.",permissions_99,officers may refer
3.303,Reporting suspected antitrust violations.,"(f) Agency reports shall be addressed to the Attorney General, U.S. Department of Justice, Washington, DC 20530, Attention: Assistant Attorney General, Antitrust Division, and shall include— (1) A brief statement describing the suspected practice and the reason for the suspicion; and (2) The name, address, and telephone number of an individual in the agency who can be contacted for further information.",dispensations_00,who can be contacted
3.402,Statutory requirements.,Contractors' arrangements to pay contingent fees for soliciting or obtaining Government contracts have long been considered contrary to public policy because such arrangements may lead to attempted or actual exercise of improper influence.,permissions_99,arrangements may lead
3.402,Statutory requirements.,"These statutes— (a) Require in every negotiated contract a warranty by the contractor against contingent fees; (b) Permit, as an exception to the warranty, contingent fee arrangements between contractors and bona fide employees or bona fide agencies; and (c) Provide that, for breach or violation of the warranty by the contractor, the Government may annul the contract without liability or deduct from the contract price or consideration, or otherwise recover, the full amount of the contingent fee.",dispensations_00,Government may annul
3.404,Contract clause.,"The contracting officer shall insert the clause at 52.203-5, Covenant Against Contingent Fees, in all solicitations and contracts exceeding the simplified acquisition threshold, other than those for commercial items (see parts 2 and 12).",obligations_02,officer shall insert
3.405,Misrepresentations or violations of the Covenant Against Contingent Fees.,"(a) Government personnel who suspect or have evidence of attempted or actual exercise of improper influence, misrepresentation of a contingent fee arrangement, or other violation of the Covenant Against Contingent Fees shall report the matter promptly to the contracting officer or appropriate higher authority in accordance with agency procedures.",obligations_02,Fees shall report
3.405,Misrepresentations or violations of the Covenant Against Contingent Fees.,"(b) When there is specific evidence or other reasonable basis to suspect one or more of the violations in paragraph (a) of this section, the chief of the contracting office shall review the facts and, if appropriate, take or direct one or more of the following, or other, actions: (1)",obligations_02,office shall review
3.406,Records.,"For enforcement purposes, agencies shall preserve any specific evidence of one or more of the violations in 3.405(a), together with all other pertinent data, including a record of actions taken.",obligations_02,agencies shall preserve
3.406,Records.,Contracting offices shall not retire or destroy these records until it is certain that they are no longer needed for enforcement purposes.,prohibitions_04,offices shall not retire
3.501-2,General.,(a) Buying-in may decrease competition or result in poor contract performance.,permissions_99,in may decrease
3.501-2,General.,The contracting officer must take appropriate action to ensure buying-in losses are not recovered by the contractor through the pricing of— (1) Change orders; or (2) Follow-on contracts subject to cost analysis.,obligations_02,officer must take
3.501-2,General.,"(b) The Government should minimize the opportunity for buying-in by seeking a price commitment covering as much of the entire program concerned as is practical by using— (1) Multiyear contracting, with a requirement in the solicitation that a price be submitted only for the total multiyear quantity; or (2) Priced options for additional quantities that, together with the firm contract quantity, equal the program requirements (see subpart 17.2).",obligations_02,Government should minimize
3.502-2,Subcontractor kickbacks.,"(d) Provides that— (1) The contracting officer may offset the amount of a kickback against monies owed by the United States to the prime contractor under the prime contract to which such kickback relates; (2) The contracting officer may direct a prime contractor to withhold from any sums owed to a subcontractor under a subcontract of the prime contract the amount of any kickback which was or may be offset against the prime contractor under paragraph (d)(1) of this section; and (3) An offset under paragraph (d)(1) or a direction under paragraph (d)(2) of this section is a claim by the Government for the purposes of 41 U.S.C. chapter 71, Contract Disputes.",permissions_99,officer may direct
3.502-2,Subcontractor kickbacks.,"(g) Requires a prime contractor or subcontractor to report in writing to the inspector general of the contracting agency, the head of the contracting agency if the agency does not have an inspector general, or the Attorney General any possible violation of the Kickbacks statute when the prime contractor or subcontractor has reasonable grounds to believe such violation may have occurred.",dispensations_00,violation may have occurred
3.502-2,Subcontractor kickbacks.,"Notwithstanding paragraph (i) of this section, a prime contractor shall cooperate fully with any Federal Government agency investigating a violation of 41 U.S.C. 8702 (see 41 U.S.C. 8703(b)).",obligations_02,contractor shall cooperate
3.502-3,Contract clause.,"The contracting officer shall insert the clause at 52.203-7, Anti-Kickback Procedures, in solicitations and contracts exceeding $150,000, other than those for commercial items (see part 12).",obligations_02,officer shall insert
3.503-2,Contract clause.,"The contracting officer shall insert the clause at 52.203-6, Restrictions on Subcontractor Sales to the Government, in solicitations and contracts exceeding the simplified acquisition threshold.",obligations_02,officer shall insert
3.503-2,Contract clause.,"For the acquisition of commercial items, the contracting officer shall use the clause with its Alternate I.",obligations_02,officer shall use
3.601,Policy.,"This policy is intended to avoid any conflict of interest that might arise between the employees' interests and their Government duties, and to avoid the appearance of favoritism or preferential treatment by the Government toward its employees.",permissions_99,that might arise
3.603,Responsibilities of the contracting officer.,"(a) Before awarding a contract, the contracting officer shall obtain an authorization under 3.602 if— (1) The contracting officer knows, or has reason to believe, that a prospective contractor is one to which award is otherwise prohibited under 3.601; and (2) There is a most compelling reason to make an award to that prospective contractor.",obligations_02,officer shall obtain
3.603,Responsibilities of the contracting officer.,(b) The contracting officer shall comply with the requirements and guidance in subpart 9.5 before awarding a contract to an organization owned or substantially owned or controlled by Government employees.,obligations_02,officer shall comply
