secno,cfr_subject,statement,subject,modality,action_verb,object,target
1.301,Policy.,"Normally, when a law requires publication of a proposed regulation, the Regulatory Flexibility Act applies and agencies must prepare written analyses or certifications as provided in the law.",agencies,obligation,applies,analyses,law
1.301,Policy.,"(d) Agency acquisition regulations implementing or supplementing the FAR are, for— (1) The military departments and defense agencies, issued subject to the authority of the Secretary of Defense; (2) NASA activities, issued subject to the authorities of the Administrator of NASA; and (3) The civilian agencies other than NASA, issued by the heads of those agencies subject to the overall authority of the Administrator of General Services or independent authority the agency may have.",agency,permission,are,subject,Services
1.304,Agency control and compliance procedures.,"(a) Under the authorities of 1.301(d), agencies shall control and limit issuance of agency acquisition regulations and, in particular, local agency directives that restrain the flexibilities found in the FAR, and shall establish formal procedures for the review of these documents to assure compliance with this part 1.",that,obligation,control,compliance,part
1.304,Agency control and compliance procedures.,(c) Agencies shall evaluate all regulatory coverage in agency acquisition regulations to determine if it could apply to other agencies.,it,obligation,evaluate,coverage,agencies
1.403,Individual deviations.,The contracting officer must document the justification and agency approval in the contract file.,officer,obligation,document,justification,file
1.404,Class deviations.,"When an agency knows that it will require a class deviation on a permanent basis, it should propose a FAR revision, if appropriate.",it,obligation,propose,revision,basis
1.404,Class deviations.,"Authorization of class deviations by agency officials is subject to the following limitations: (1) An agency official who may authorize a class deviation, before doing so, shall consult with the chairperson of the Civilian Agency Acquisition Council (CAA Council), unless that agency official determines that urgency precludes such consultation.",urgency,obligation,is,consultation,Council
1.501-2,Opportunity for public comments.,"Each of these notices shall include— (1) The text of the revision or, if it is impracticable to publish the full text, a summary of the proposal; (2) The address and telephone number of the individual from whom copies of the revision, in full text, can be requested and to whom comments thereon should be addressed; and (3) When 1.501-3(b) is applicable, a statement that the revision is effective on a temporary basis pending completion of the public comment period.",revision,obligation,include,statement,period
1.601,General.,The agency head may establish contracting activities and delegate broad authority to manage the agency's contracting functions to heads of such contracting activities.,head,permission,establish,functions,activities
1.601,General.,(b) Agency heads may mutually agree to— (1) Assign contracting functions and responsibilities from one agency to another; and (2) Create joint or combined offices to exercise acquisition functions and responsibilities.,heads,permission,agree,functions,another
1.602-1,Authority.,Contracting officers may bind the Government only to the extent of the authority delegated to them.,officers,permission,bind,Government,them
1.602-1,Authority.,Contracting officers shall receive from the appointing authority (see 1.603-1) clear instructions in writing regarding the limits of their authority.,officers,obligation,receive,instructions,authority
1.602-3,Ratification of unauthorized commitments.,"(1) Agencies should take positive action to preclude, to the maximum extent possible, the need for ratification actions.",Agencies,obligation,take,need,actions
1.602-3,Ratification of unauthorized commitments.,(4) Agencies should process unauthorized commitments using the ratification authority of this subsection instead of referring such actions to the Government Accountability Office for resolution.,Agencies,obligation,process,actions,resolution
1.603-1,General.,Agency heads or their designees may select and appoint contracting officers and terminate their appointments.,heads,permission,select,appointments,
1.603-2,Selection.,"In selecting contracting officers, the appointing official shall consider the complexity and dollar value of the acquisitions to be assigned and the candidate's experience, training, education, business acumen, judgment, character, and reputation.",value,obligation,consider,officers,acquisitions
1.603-3,Appointment.,"(a) Contracting officers shall be appointed in writing on an SF 1402, Certificate of Appointment, which shall state any limitations on the scope of authority to be exercised, other than limitations contained in applicable law or regulation.",which,obligation,appoint,limitations,law
1.603-3,Appointment.,Appointing officials shall maintain files containing copies of all appointments that have not been terminated.,that,obligation,maintain,copies,appointments
1.603-4,Termination.,No termination shall operate retroactively.,termination,obligation,operate,,
1.604,Contracting Officer's Representative (COR).,"The file must include, at a minimum— (a) A copy of the contracting officer's letter of designation and other documents describing the COR's duties and responsibilities; (b) A copy of the contract administration functions delegated to a contract administration office which may not be delegated to the COR ( see 1.602-2(d)(4)); and (c) Documentation of COR actions taken in accordance with the delegation of authority.",which,dispensation,include,Documentation,authority
1.703,Class determinations and findings.,A class may consist of contract actions for the same or related supplies or services or other contract actions that require essentially identical justification.,that,permission,consist,justification,supplies
1.703,Class determinations and findings.,(c) The contracting officer shall ensure that individual actions taken pursuant to the authority of a class D&F are within the scope of the D&F.,actions,obligation,ensure,,D&F.
2.101,Definitions.=,It can also mean the furnishing of professional advice or assistance rendered to improve the effectiveness of Federal management processes or procedures (including those of an engineering and technical nature).,It,permission,mean,effectiveness,nature
2.101,Definitions.=,"In rendering the foregoing services, outputs may take the form of information, advice, opinions, alternatives, analyses, evaluations, recommendations, training and the day-to-day aid of support personnel needed for the successful performance of ongoing Federal operations.",outputs,permission,take,form,operations
2.101,Definitions.=,"Bid sample means a product sample required to be submitted by an offeror to show characteristics of the offered products that cannot adequately be described by specifications, purchase descriptions, or the solicitation (e.g., balance, facility of use, or pattern).",that,dispensation,means,characteristics,use
2.101,Definitions.=,"Classified acquisition means an acquisition in which offerors must have access to classified information to properly submit an offer or quotation, to understand the performance requirements, or to perform the contract.",offerors,obligation,means,contract,information
2.101,Definitions.=,Classified contract means any contract in which the contractor or its employees must have access to classified information during contract performance.,contractor,obligation,means,access,performance
2.101,Definitions.=,"Classified information means any knowledge that can be communicated or any documentary material, regardless of its physical form or characteristics, that— (1)(i) Is owned by, is produced by or for, or is under the control of the United States Government; or (ii) Has been classified by the Department of Energy as privately generated restricted data following the procedures in 10 CFR 1045.21; and (2) Must be protected against unauthorized disclosure according to Executive Order 12958, Classified National Security Information, April 17, 1995, or classified in accordance with the Atomic Energy Act of 1954.",ii,obligation,means,knowledge,1954
2.101,Definitions.=,Continued portion of the contract means the portion of a contract that the contractor must continue to perform following a partial termination.,contractor,obligation,means,termination,contract
2.101,Definitions.=,"They also include, but are not limited to, such factors as— (1) Vendor quotations; (2) Nonrecurring costs; (3) Information on changes in production methods and in production or purchasing volume; (4) Data supporting projections of business prospects and objectives and related operations costs; (5) Unit-cost trends such as those associated with labor efficiency; (6) Make-or-buy decisions; (7) Estimated resources to attain business goals; and (8) Information on management decisions that could have a significant bearing on costs.",that,permission,include,bearing,costs
2.101,Definitions.=,"Such data may include the identical types of data as certified cost or pricing data, consistent with Table 15-2 of 15.408, but without the certification.",data,permission,include,types,certification
2.101,Definitions.=,"The data may also include, for example, sales data and any information reasonably required to explain the offeror's estimating process, including, but not limited to— (1) The judgmental factors applied and the mathematical or other methods used in the estimate, including those used in projecting from known data; and (2) The nature and amount of any contingencies included in the proposed price.",factors,permission,include,process,price
2.101,Definitions.=,"This comparison may consider raw materials acquisition, production, manufacturing, packaging, distribution, reuse, operation, maintenance, or disposal of the product or service.",comparison,permission,consider,acquisition,product
2.101,Definitions.=,"These projections may include rates for such things as labor, indirect costs, material obsolescence and usage, spare parts provisioning, and material handling.",projections,permission,include,rates,labor
2.101,Definitions.=,"In writing, writing, or written means any worded or numbered expression that can be read, reproduced, and later communicated, and includes electronically transmitted and stored information.",that,permission,means,information,writing
2.101,Definitions.=,Neither the financial institution nor the offeror/contractor can revoke or condition the letter of credit.,institution,permission,revoke,letter,credit
2.101,Definitions.=,"The elements may include hardware, equipment, software, or any combination thereof, but exclude construction or other improvements to real property.",elements,permission,include,construction,property
2.101,Definitions.=,"A neutral person must have no official, financial, or personal conflict of interest with respect to the issues in controversy, unless the interest is fully disclosed in writing to all parties and all parties agree that the neutral person may serve (5 U.S.C. 583).",person,obligation,have,conflict,parties
2.101,Definitions.=,Receiving reports must meet the requirements of 32.905(c).,,obligation,meet,requirements,32.905(c
2.101,Definitions.=,Solicitations under simplified acquisition procedures may require submission of either a quotation or an offer.,Solicitations,permission,require,submission,quotation
2.101,Definitions.=,"Sustainable acquisition means acquiring goods and services in order to create and maintain conditions— (1) Under which humans and nature can exist in productive harmony; and (2) That permit fulfilling the social, economic, and other requirements of present and future generations.",humans,permission,means,requirements,generations
3.101-2,Solicitation and acceptance of gratuities by Government personnel.,"As a rule, no Government employee may solicit or accept, directly or indirectly, any gratuity, gift, favor, entertainment, loan, or anything of monetary value from anyone who (a) has or is seeking to obtain Government business with the employee's agency, (b) conducts activities that are regulated by the employee's agency, or (c) has interests that may be substantially affected by the performance or nonperformance of the employee's official duties.",that,permission,conducts,interests,duties
3.103-1,Solicitation provision.,"The contracting officer shall insert the provision at 52.203-2, Certificate of Independent Price Determination, in solicitations when a firm-fixed-price contract or fixed-price contract with economic price adjustment is contemplated, unless— (a) The acquisition is to be made under the simplified acquisition procedures in part 13; (b)",acquisition,obligation,insert,Certificate,part
3.103-2,Evaluating the certification.,"For the purpose of paragraph (b)(2) of the certificate, an individual may use a blanket authorization to act as an agent for the person(s) responsible for determining the offered prices if— (i)",individual,permission,use,prices,person(s
3.103-2,Evaluating the certification.,"(1) If the offeror deleted or modified paragraph (a)(1) or (3) or paragraph (b) of the certificate, the contracting officer shall reject the offeror's bid or proposal.",officer,obligation,reject,bid,certificate
3.103-2,Evaluating the certification.,"The chief of the contracting office shall review the altered certificate and the statement and shall determine, in writing, whether the disclosure was made for the purpose or had the effect of restricting competition.",disclosure,obligation,review,competition,purpose
3.103-2,Evaluating the certification.,"(3) Whenever an offer is rejected under paragraph (b)(1) or (2) of this section, or the certificate is suspected of being false, the contracting officer shall report the situation to the Attorney General in accordance with 3.303.",officer,obligation,report,situation,3.303
3.103-3,The need for further certifications.,"A contractor that properly executed the certificate before award does not have to submit a separate certificate with each proposal to perform a work order or similar ordering instrument issued pursuant to the terms of the contract, where the Government's requirements cannot be met from another source.",requirements,dispensation,,order,source
3.104-2,General.,"The acceptance of a gift, under certain circumstances, is prohibited by 5 U.S.C. 7353 and 5 CFR part 2635; (2) Contacts with an offeror during the conduct of an acquisition may constitute “seeking employment,”(see subpart F of 5 CFR part 2636 and 3.104-3(c)(2)).",Contacts,permission,prohibit,F,part
3.104-2,General.,An employee who engages in negotiations or is otherwise seeking employment with an offeror or who has an arrangement concerning future employment with an offeror must comply with the applicable disqualification requirements of 5 CFR 2635.604 and 2635.606.,who,obligation,comply,employment,CFR
3.104-3,"Statutory and related prohibitions, restrictions, and requirements.",(3) Agencies must retain reports of employment contacts for 2 years from the date the report was submitted.,report,obligation,retain,reports,date
3.104-4,"Disclosure, protection, and marking of contractor bid or proposal information and source selection information.","Except as specifically provided for in this subsection, no person or other entity may disclose contractor bid or proposal information or source selection information to any person other than a person authorized, in accordance with applicable agency regulations or procedures, by the agency head or the contracting officer to receive such information.",person,permission,receive,information,head
3.104-4,"Disclosure, protection, and marking of contractor bid or proposal information and source selection information.","(d) Except as provided in paragraph (d)(3) of this subsection, the contracting officer must notify the contractor in writing if the contracting officer believes that proprietary information, contractor bid or proposal information, or information marked in accordance with 52.215-1(e) has been inappropriately marked.",information,dispensation,notify,contractor,1(e
3.104-4,"Disclosure, protection, and marking of contractor bid or proposal information and source selection information.","(1) If the contractor agrees that the marking is not justified, or does not respond within the time specified in the notice, the contracting officer may remove the marking and release the information.",officer,permission,remove,information,notice
3.104-4,"Disclosure, protection, and marking of contractor bid or proposal information and source selection information.","(2) If, after reviewing the contractor's justification, the contracting officer determines that the marking is not justified, the contracting officer must notify the contractor in writing before releasing the information.",officer,dispensation,notify,information,writing
3.104-4,"Disclosure, protection, and marking of contractor bid or proposal information and source selection information.","(3) For technical data marked as proprietary by a contractor, the contracting officer must follow the procedures in 27.404-5.",officer,obligation,follow,procedures,27.404
3.104-4,"Disclosure, protection, and marking of contractor bid or proposal information and source selection information.","Any release containing contractor bid or proposal information or source selection information must clearly identify the information as contractor bid or proposal information or source selection information related to the conduct of a Federal agency procurement and notify the recipient that the disclosure of the information is restricted by 41 U.S.C. chapter 21; (2) The withholding of information from, or restricting its receipt by, the Comptroller General in the course of a protest against the award or proposed award of a Federal agency procurement contract; (3) The release of information after award of a contract or cancellation of a procurement if such information is contractor bid or proposal information or source selection information that pertains to another procurement; or (4) The disclosure, solicitation, or receipt of bid or proposal information or source selection information after award if disclosure, solicitation, or receipt is prohibited by law.",disclosure,obligation,identify,General,law
3.104-5,Disqualification.,These contacts may also require disqualification under other statutes and regulations.,contacts,permission,require,disqualification,statutes
3.104-5,Disqualification.,"In addition to submitting the contact report required by 3.104-3(c)(1), an agency official who must disqualify himself or herself pursuant to 3.104-3(c)(1)(ii) must promptly submit written notice of disqualification from further participation in the procurement to the contracting officer, the source selection authority if other than the contracting officer, and the agency official's immediate supervisor.",who,obligation,,authority,officer
3.104-5,Disqualification.,"(1) The official must remain disqualified until such time as the agency, at its sole and exclusive discretion, authorizes the official to resume participation in the procurement in accordance with 3.104-3(c)(1)(ii).",official,obligation,remain,participation,3(c)(1)(ii
3.104-5,Disqualification.,(3) Government officer or employee must also comply with the provisions of 18 U.S.C. 208 and 5 CFR part 2635 regarding any resumed participation in a procurement matter.,officer,obligation,comply,,matter
3.104-6,Ethics advisory opinions regarding prohibitions on a former official's acceptance of compensation from a contractor.,(a) An official or former official of a Federal agency who does not know whether he or she is or would be precluded by 41 U.S.C. 2104 (see 3.104-3(d)) from accepting compensation from a particular contractor may request advice from the appropriate agency ethics official before accepting such compensation.,he,permission,request,compensation,official
3.104-6,Ethics advisory opinions regarding prohibitions on a former official's acceptance of compensation from a contractor.,"The request must include information about the— (1) Procurement(s), or decision(s) on matters under 3.104-3(d)(1)(iii), involving the particular contractor, in which the individual was or is involved, including contract or solicitation numbers, dates of solicitation or award, a description of the supplies or services procured or to be procured, and contract amount; (2) Individual's participation in the procurement or decision, including the dates or time periods of that participation, and the nature of the individual's duties, responsibilities, or actions; and (3) Contractor, including a description of the products or services produced by the division or affiliate of the contractor from whom the individual proposes to accept compensation.",individual,obligation,include,compensation,whom
3.104-6,Ethics advisory opinions regarding prohibitions on a former official's acceptance of compensation from a contractor.,"Within 30 days after receipt of a request containing complete information, or as soon thereafter as practicable, the agency ethics official should issue an opinion on whether the proposed conduct would violate 41 U.S.C. 2104.",conduct,obligation,issue,opinion,request
3.104-6,Ethics advisory opinions regarding prohibitions on a former official's acceptance of compensation from a contractor.,"If complete information is not included in the request, the agency ethics official may ask the requester to provide more information or request information from other persons, including the source selection authority, the contracting officer, or the requester's immediate supervisor.",official,permission,ask,information,authority
3.104-6,Ethics advisory opinions regarding prohibitions on a former official's acceptance of compensation from a contractor.,"In issuing an opinion, the agency ethics official may rely upon the accuracy of information furnished by the requester or other agency sources, unless he or she has reason to believe that the information is fraudulent, misleading, or otherwise incorrect.",information,permission,rely,reason,requester
3.104-6,Ethics advisory opinions regarding prohibitions on a former official's acceptance of compensation from a contractor.,"(3) If the requester is advised in a written opinion by the agency ethics official that the requester may accept compensation from a particular contractor, and accepts such compensation in good faith reliance on that advisory opinion, then neither the requester nor the contractor will be found to have knowingly violated 41 U.S.C. 2104.",requester,permission,find,compensation,opinion
3.104-7,Violations or possible violations.,"(1) If the contracting officer concludes that there is no impact on the procurement, the contracting officer must forward the information concerning the violation or possible violation and documentation supporting a determination that there is no impact on the procurement to an individual designated in accordance with agency procedures.",officer,obligation,concludes,determination,procedures
3.104-7,Violations or possible violations.,"If that individual concurs, the contracting officer may proceed with the procurement.",officer,permission,proceed,,procurement
3.104-7,Violations or possible violations.,"(2) If the contracting officer concludes that the violation or possible violation impacts the procurement, the contracting officer must promptly forward the information to the HCA. (b) The HCA must review all information available and, in accordance with agency procedures, take appropriate action, such as— (1) Advise the contracting officer to continue with the procurement; (2) Begin an investigation; (3) Refer the information disclosed to appropriate criminal investigative agencies; (4) Conclude that a violation occurred; or (5) Recommend that the agency head determine that the contractor, or someone acting for the contractor, has engaged in conduct constituting an offense punishable under 41 U.S.C. 2105, for the purpose of voiding or rescinding the contract.",contractor,obligation,forward,contract,purpose
3.202,Contract clause.,"The contracting officer shall insert the clause at 52.203-3, Gratuities, in solicitations and contracts with a value exceeding the simplified acquisition threshold, except those for personal services and those between military departments or defense agencies and foreign governments that do not obligate any funds appropriated to the Department of Defense.",that,obligation,insert,funds,Defense
3.203,Reporting suspected violations of the Gratuities clause.,Agency personnel shall report suspected violations of the Gratuities clause to the contracting officer or other designated official in accordance with agency procedures.,personnel,obligation,report,violations,procedures
3.203,Reporting suspected violations of the Gratuities clause.,"The agency reporting procedures shall be published as an implementation of this section 3.203 and shall clearly specify— (a) What to report and how to report it; and (b) The channels through which reports must pass, including the function and authority of each official designated to review them.",reports,obligation,publish,them,official
3.204,Treatment of violations.,"(a) Before taking any action against a contractor, the agency head or a designee shall determine, after notice and hearing under agency procedures, whether the contractor, its agent, or another representative, under a contract containing the Gratuities clause— (1) Offered or gave a gratuity (e.g., an entertainment or gift) to an officer, official, or employee of the Government; and (2) Intended by the gratuity to obtain a contract or favorable treatment under a contract (intent generally must be inferred).",intent,obligation,infer,contract,contract
3.204,Treatment of violations.,"(b) Agency procedures shall afford the contractor an opportunity to appear with counsel, submit documentary evidence, present witnesses, and confront any person the agency presents.",agency,obligation,afford,person,counsel
3.301,General.,"Agency personnel shall report, in accordance with agency regulations, evidence of suspected antitrust violations in acquisitions for possible referral to— (1) The Attorney General under 3.303; and (2) The agency office responsible for contractor debarment and suspension under subpart 9.4.",personnel,obligation,report,evidence,subpart
3.303,Reporting suspected antitrust violations.,"(c) Practices or events that may evidence violations of the antitrust laws include— (1) The existence of an industry price list or price agreement to which contractors refer in formulating their offers; (2) A sudden change from competitive bidding to identical bidding; (3) Simultaneous price increases or follow-the-leader pricing; (4) Rotation of bids or proposals, so that each competitor takes a turn in sequence as low bidder, or so that certain competitors bid low only on some sizes of contracts and high on other sizes; (5) Division of the market, so that certain competitors bid low only for contracts awarded by certain agencies, or for contracts in certain geographical areas, or on certain products, and bid high on all other jobs; (6) Establishment by competitors of a collusive price estimating system; (7) The filing of a joint bid by two or more competitors when at least one of the competitors has sufficient technical capability and productive capacity for contract performance; (8) Any incidents suggesting direct collusion among competitors, such as the appearance of identical calculation or spelling errors in two or more competitive offers or the submission by one firm of offers for other firms; and (9) Assertions by the employees, former employees, or competitors of offerors, that an agreement to restrain trade exists.",one,permission,include,exists,offerors
3.303,Reporting suspected antitrust violations.,"For offers from foreign contractors for contracts to be performed outside the United States and its outlying areas, contracting officers may refer suspected collusive offers to the authorities of the foreign government concerned for appropriate action.",officers,permission,refer,offers,action
3.303,Reporting suspected antitrust violations.,"(f) Agency reports shall be addressed to the Attorney General, U.S. Department of Justice, Washington, DC 20530, Attention: Assistant Attorney General, Antitrust Division, and shall include— (1) A brief statement describing the suspected practice and the reason for the suspicion; and (2) The name, address, and telephone number of an individual in the agency who can be contacted for further information.",who,obligation,address,practice,information
3.402,Statutory requirements.,Contractors' arrangements to pay contingent fees for soliciting or obtaining Government contracts have long been considered contrary to public policy because such arrangements may lead to attempted or actual exercise of improper influence.,arrangements,permission,consider,fees,influence
3.404,Contract clause.,"The contracting officer shall insert the clause at 52.203-5, Covenant Against Contingent Fees, in all solicitations and contracts exceeding the simplified acquisition threshold, other than those for commercial items (see parts 2 and 12).",officer,obligation,insert,parts,items
3.405,Misrepresentations or violations of the Covenant Against Contingent Fees.,"(a) Government personnel who suspect or have evidence of attempted or actual exercise of improper influence, misrepresentation of a contingent fee arrangement, or other violation of the Covenant Against Contingent Fees shall report the matter promptly to the contracting officer or appropriate higher authority in accordance with agency procedures.",misrepresentation,obligation,report,matter,procedures
3.405,Misrepresentations or violations of the Covenant Against Contingent Fees.,"(b) When there is specific evidence or other reasonable basis to suspect one or more of the violations in paragraph (a) of this section, the chief of the contracting office shall review the facts and, if appropriate, take or direct one or more of the following, or other, actions: (1)",chief,obligation,review,one,following
3.406,Records.,"For enforcement purposes, agencies shall preserve any specific evidence of one or more of the violations in 3.405(a), together with all other pertinent data, including a record of actions taken.",agencies,obligation,preserve,evidence,actions
3.501-2,General.,(a) Buying-in may decrease competition or result in poor contract performance.,in,permission,decrease,competition,performance
3.501-2,General.,The contracting officer must take appropriate action to ensure buying-in losses are not recovered by the contractor through the pricing of— (1) Change orders; or (2) Follow-on contracts subject to cost analysis.,officer,obligation,take,losses,analysis
3.501-2,General.,"(b) The Government should minimize the opportunity for buying-in by seeking a price commitment covering as much of the entire program concerned as is practical by using— (1) Multiyear contracting, with a requirement in the solicitation that a price be submitted only for the total multiyear quantity; or (2) Priced options for additional quantities that, together with the firm contract quantity, equal the program requirements (see subpart 17.2).",that,obligation,minimize,subpart,quantity
3.502-2,Subcontractor kickbacks.,"(d) Provides that— (1) The contracting officer may offset the amount of a kickback against monies owed by the United States to the prime contractor under the prime contract to which such kickback relates; (2) The contracting officer may direct a prime contractor to withhold from any sums owed to a subcontractor under a subcontract of the prime contract the amount of any kickback which was or may be offset against the prime contractor under paragraph (d)(1) of this section; and (3) An offset under paragraph (d)(1) or a direction under paragraph (d)(2) of this section is a claim by the Government for the purposes of 41 U.S.C. chapter 71, Contract Disputes.",direction,permission,Provides,amount,chapter
3.502-2,Subcontractor kickbacks.,"Notwithstanding paragraph (i) of this section, a prime contractor shall cooperate fully with any Federal Government agency investigating a violation of 41 U.S.C. 8702 (see 41 U.S.C. 8703(b)).",contractor,obligation,cooperate,violation,U.S.C.
3.502-3,Contract clause.,"The contracting officer shall insert the clause at 52.203-7, Anti-Kickback Procedures, in solicitations and contracts exceeding $150,000, other than those for commercial items (see part 12).",officer,obligation,insert,part,items
3.503-2,Contract clause.,"The contracting officer shall insert the clause at 52.203-6, Restrictions on Subcontractor Sales to the Government, in solicitations and contracts exceeding the simplified acquisition threshold.",officer,obligation,insert,threshold,solicitations
3.503-2,Contract clause.,"For the acquisition of commercial items, the contracting officer shall use the clause with its Alternate I.",officer,obligation,use,clause,I.
3.601,Policy.,"This policy is intended to avoid any conflict of interest that might arise between the employees' interests and their Government duties, and to avoid the appearance of favoritism or preferential treatment by the Government toward its employees.",that,permission,intend,appearance,employees
3.603,Responsibilities of the contracting officer.,"(a) Before awarding a contract, the contracting officer shall obtain an authorization under 3.602 if— (1) The contracting officer knows, or has reason to believe, that a prospective contractor is one to which award is otherwise prohibited under 3.601; and (2) There is a most compelling reason to make an award to that prospective contractor.",award,obligation,obtain,award,contractor
3.603,Responsibilities of the contracting officer.,(b) The contracting officer shall comply with the requirements and guidance in subpart 9.5 before awarding a contract to an organization owned or substantially owned or controlled by Government employees.,officer,obligation,comply,contract,employees
3.704,Policy.,"In cases in which there is a final conviction for any violation of 18 U.S.C. 201-224 involving or relating to contracts awarded by an agency, the agency head or designee shall consider the facts available and, if appropriate, may declare void and rescind contracts, and recover the amounts expended and property transferred by the agency in accordance with the policies and procedures of this subpart.",facts,obligation,consider,amounts,subpart
3.704,Policy.,"(b) Since a final conviction under 18 U.S.C. 201-224 relating to a contract also may justify the conclusion that the party involved is not presently responsible, the agency should consider initiating debarment proceedings in accordance with subpart 9.4, Debarment, Suspension, and Ineligibility, if debarment has not been initiated or is not in effect at the time the final conviction is entered.",conviction,obligation,consider,proceedings,time
3.704,Policy.,"(c) If there is a final conviction for an offense punishable under 41 U.S.C. 2105, or if the head of the agency, or designee, has determined, based upon a preponderance of the evidence, that the contractor or someone acting for the contractor has engaged in conduct constituting such an offense, then the head of the contracting activity shall consider, in addition to any other penalty prescribed by law or regulation— (1) Declaring void and rescinding contracts, as appropriate, and recovering the amounts expended under the contracts by using the procedures at 3.705 (see 3.104-7); and (2) Recommending the initiation of suspension or debarment proceedings in accordance with subpart 9.4.",head,obligation,,initiation,subpart
3.705,Procedures.,"The agency head or designee shall promptly notify the Civil Division, Department of Justice, that an action is being considered under this subpart.",action,obligation,notify,Division,subpart
3.705,Procedures.,"Following an assessment of the facts, the agency head or designee may declare void and rescind contracts with respect to which a final conviction has been entered, and recover the amounts expended and the property transferred by the agency under the terms of the contracts involved.",conviction,permission,declare,amounts,contracts
3.705,Procedures.,"As a minimum, however, agencies shall provide the following: (1) A notice of the proposed action to declare void and rescind the contract shall be made in writing and sent by certified mail, return receipt requested.",receipt,obligation,make,contract,mail
3.705,Procedures.,"(4) If the agency head or designee decides to declare void and rescind the contracts involved, that official shall issue a written decision which— (i) States that determination; (ii) Reflects consideration of the fair value of any tangible benefits received and retained by the agency; and (iii) States the amount due, and the property to be returned, to the agency.",determination,obligation,issue,amount,agency
3.705,Procedures.,"If the agency decision declares void and rescinds the contract, the final decision shall specify the amounts due and property to be returned to the agency, and reflect consideration of the fair value of any tangible benefits received and retained by the agency.",decision,obligation,specify,consideration,agency
3.802,Statutory prohibition and requirement.,"(2) To the extent a person can demonstrate that the person has sufficient monies, other than Federal appropriated funds, the Government shall assume that these other monies were spent for any influencing activities that would be unallowable if paid for with Federal appropriated funds.",that,obligation,assume,monies,funds
3.804,Policy.,"The contracting officer shall obtain certifications and disclosures as required by the provision at 52.203-11, Certification and Disclosure Regarding Payments to Influence Certain Federal Transactions, prior to the award of any contract exceeding $150,000.",officer,obligation,obtain,"150,000",contract
3.806,Processing suspected violations.,The contracting officer shall report suspected violations of the requirements of 31 U.S.C. 1352 in accordance with agency procedures.,officer,obligation,report,violations,procedures
3.807,Civil penalties.,"Agencies shall impose and collect civil penalties pursuant to the provisions of the Program Fraud and Civil Remedies Act, 31 U.S.C. 3803 (except subsection (c)), 3804-3808, and 3812, insofar as the provisions therein are not inconsistent with the requirements of this subpart.",provisions,obligation,impose,penalties,subpart
3.905,Procedures for investigating complaints.,"(c) Upon completion of the investigation, the head of the agency or designee shall ensure that the Inspector General provides the report of findings to— (1) The complainant and any person acting on the complainant's behalf; (2) The contractor alleged to have committed the violation; and (3) The head of the contracting activity.",contractor,obligation,ensure,violation,activity
3.905,Procedures for investigating complaints.,"(e) At any time, the head of the agency or designee may request additional investigative work be done on the complaint.",head,permission,request,work,complaint
